id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Winter Sonata,Aria Wren,classical,melancholic,0.20,58,0.25,0.15,0.95
12,Crown Up,Big Mecca,hip hop,triumphant,0.80,95,0.75,0.85,0.08
13,Old Porch Letters,Willow Creek,folk,nostalgic,0.33,85,0.55,0.40,0.90
14,Iron Verdict,Grave Circuit,metal,aggressive,0.97,170,0.30,0.35,0.03
15,Velvet Whisper,Marlo Reyes,R&B,romantic,0.55,88,0.68,0.70,0.30
16,Dirt Road Sunrise,Hazel County,country,hopeful,0.62,100,0.72,0.55,0.60
17,Pulse Ignition,DJ Kinetic,EDM,euphoric,0.95,128,0.90,0.92,0.02
18,Island Sway,Kalo Roots,reggae,playful,0.58,90,0.80,0.75,0.45
19,Rainy Alley Blues,Delta Mo,blues,somber,0.30,65,0.35,0.30,0.75
20,Hidden Frequencies,Vex Silo,techno,mysterious,0.78,130,0.40,0.80,0.05
21,Half Light,Sable Lane,indie pop,relaxed,0.48,92,0.60,0.55,0.50
22,Slow Burn Avenue,Cinder & Wale,R&B,moody,0.68,100,0.55,0.62,0.35
23,Tidewalk,Coral Static,synthwave,focused,0.70,104,0.58,0.65,0.25
24,Silver Constellation,Onyx Calloway,pop,happy,0.80,101,0.66,0.75,0.15
25,Golden Terrace,Rune Dane,pop,euphoric,0.71,118,0.72,0.89,0.20
26,Fading Overture,Marigold Sterling,lofi,relaxed,0.28,75,0.47,0.53,0.74
27,Glowing Beacon,Lyric Hartley,lofi,chill,0.40,82,0.47,0.63,0.67
28,Midnight Cathedral,Auden Knox,rock,triumphant,0.87,124,0.41,0.60,0.09
29,Velvet Meadow,Dune Marrow,rock,aggressive,0.81,160,0.65,0.58,0.10
30,Weathered Orbit,Juno Lachlan,ambient,chill,0.27,60,0.53,0.30,0.84
31,Faded Cathedral,Juno Voss,ambient,mysterious,0.29,56,0.46,0.26,0.81
32,Faded River,Rune Lachlan,jazz,moody,0.35,111,0.63,0.68,0.79
33,Emerald Static,Indigo Fairweather,jazz,moody,0.49,107,0.73,0.58,0.74
34,Silver Anthem,Isolde Reyes,synthwave,moody,0.82,99,0.61,0.81,0.18
35,Hollow Wildfire,Zephyr Kade,synthwave,euphoric,0.73,112,0.67,0.65,0.24
36,Vivid Pulse,Opaline Rivers,indie pop,hopeful,0.49,117,0.60,0.55,0.48
37,Ivory Alley,Kestrel Grove,indie pop,relaxed,0.62,96,0.81,0.63,0.46
38,Gentle Canyon,Marlowe Ashgrove,classical,peaceful,0.31,88,0.52,0.22,0.91
39,Wandering Voyage,Ember Ives,classical,triumphant,0.22,70,0.51,0.29,0.86
40,Falling River,Opaline Voss,hip hop,confident,0.68,100,0.83,0.78,0.13
41,Gentle Vessel,Rune Lachlan,hip hop,confident,0.83,97,0.85,0.86,0.12
42,Iron Frontier,Onyx Thorne,folk,hopeful,0.27,79,0.60,0.40,0.83
43,Hollow Nightfall,Sable Hollow,folk,hopeful,0.27,80,0.66,0.36,0.84
44,Weathered Corridor,Rune Voss,metal,intense,0.97,178,0.34,0.39,0.08
45,Drifting Canyon,Onyx Marrow,metal,furious,0.93,163,0.32,0.45,0.07
46,Sleepless Lantern,Cedar Nightingale,R&B,sensual,0.65,83,0.61,0.69,0.34
47,Neon Bridge,Lyric Castellan,R&B,moody,0.67,82,0.65,0.82,0.36
48,Electric Wilderness,Basalt Ives,country,hopeful,0.69,119,0.74,0.50,0.55
49,Rising Tide,Dune Nightingale,country,hopeful,0.49,90,0.80,0.50,0.65
50,Ancient Current,Marigold Dane,EDM,intense,0.87,128,0.79,0.86,0.08
51,Electric Constellation,Orin Hollow,EDM,euphoric,0.93,132,0.93,0.91,0.02
52,Scarlet Harbor,Dune Larkspur,reggae,playful,0.55,85,0.73,0.79,0.46
53,Feral Beacon,Cedar Kade,reggae,playful,0.50,94,0.71,0.69,0.48
54,Hidden Skyline,Lyric Nightingale,blues,moody,0.42,69,0.41,0.49,0.84
55,Silent Prism,Auden Marchetti,blues,somber,0.27,66,0.43,0.33,0.72
56,Hollow Skyline,Thistle Wolfe,techno,intense,0.80,142,0.53,0.84,0.15
57,Sleepless Season,Nova Calloway,techno,focused,0.90,128,0.58,0.77,0.04
58,Broken Constellation,Basalt Finch,funk,energetic,0.71,106,0.82,0.81,0.28
59,Emerald Anthem,Isolde Rivers,funk,playful,0.67,113,0.84,0.79,0.22
60,Silver Cathedral,Lyric Larkspur,punk,restless,0.92,177,0.49,0.52,0.14
61,Trembling Mirror,Basalt Hollow,punk,furious,0.92,159,0.46,0.51,0.07
62,Crimson Chamber,Rune Calloway,disco,playful,0.83,121,0.88,0.92,0.15
63,Wild Constellation,Marlowe Lachlan,disco,playful,0.87,115,0.90,0.80,0.21
64,Shattered Cascade,Bramble Calloway,gospel,hopeful,0.62,110,0.81,0.63,0.41
65,Rising Meadow,Rune Ives,gospel,warm,0.64,111,0.83,0.60,0.41
66,Restless Reverie,Orin Rivers,k-pop,happy,0.93,113,0.76,0.84,0.20
67,Copper Wreckage,Nova Marrow,k-pop,playful,0.76,113,0.69,0.85,0.14
68,Hidden Vessel,Auden Sharp,latin,playful,0.70,113,0.69,0.76,0.29
69,Iron Pulse,Halcyon Fairweather,latin,romantic,0.69,97,0.87,0.89,0.32
70,Weathered Compass,Talon Knox,bossa nova,warm,0.40,96,0.63,0.57,0.71
71,Silver Canyon,Marigold Calloway,bossa nova,peaceful,0.44,80,0.67,0.55,0.76
